model,n_estimators,max_samples,contamination,f1,recall,precision
IsolationForest,100,1.0,0.499,0.7428,0.8278,1.0
IsolationForest,200,1.0,0.499,0.7407,0.8261,1.0
IsolationForest,100,0.5,0.499,0.7406,0.8195,1.0
IsolationForest,200,1.0,0.3,0.7397,0.7458,1.0
IsolationForest,300,1.0,0.499,0.7395,0.8239,1.0
IsolationForest,100,1.0,0.3,0.7394,0.7423,1.0
IsolationForest,300,1.0,0.4,0.7386,0.7858,1.0
IsolationForest,200,0.5,0.3,0.7382,0.7437,1.0
IsolationForest,100,0.8,0.3,0.7375,0.7388,1.0
IsolationForest,200,0.8,0.499,0.7375,0.8211,1.0
IsolationForest,300,0.5,0.3,0.7374,0.7411,1.0
IsolationForest,200,1.0,0.4,0.7372,0.7845,1.0
IsolationForest,200,0.8,0.3,0.7372,0.7442,1.0
IsolationForest,300,0.8,0.4,0.7363,0.7831,1.0
IsolationForest,100,1.0,0.4,0.7359,0.7787,1.0
IsolationForest,100,0.8,0.499,0.7355,0.8127,1.0
IsolationForest,200,0.5,0.499,0.7352,0.8133,1.0
IsolationForest,200,0.8,0.4,0.735,0.7803,1.0
IsolationForest,300,0.5,0.499,0.7347,0.8134,1.0
IsolationForest,300,0.5,0.4,0.7343,0.776,1.0
IsolationForest,200,0.5,0.4,0.7343,0.7765,1.0
IsolationForest,100,0.5,0.3,0.7341,0.7277,1.0
IsolationForest,100,0.5,0.4,0.7329,0.7675,1.0
IsolationForest,300,1.0,0.3,0.7322,0.7344,1.0
IsolationForest,100,0.8,0.4,0.7313,0.7691,1.0
IsolationForest,300,0.8,0.499,0.7311,0.8096,1.0
OneClassSVM,-,-,0.5,0.7308,0.852,1.0
IsolationForest,300,0.8,0.3,0.7306,0.7336,1.0
OneClassSVM,-,-,0.3,0.6625,0.6382,1.0
LOF,50,-,-,0.5409,0.5143,1.0
LOF,20,-,-,0.5126,0.4874,1.0
OneClassSVM,-,-,0.1,0.4843,0.3514,1.0
LOF,10,-,-,0.4541,0.4317,1.0
